% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=2, Fri May 24 13:41:52 2019
1 12 -0.06051770562297724 -0.00024564538274241145 0.0007068004189654878 0.06338893351317232 1 1 1 1 1 1 1 1 1 1
2 24 -0.07121631794556962 -0.004237559691087663 0.00011080792971627712 0.09513333368035365 1 1 1 1 1 1 1 1 1 1
3 36 -0.07260420687436245 -0.0032211214163626036 0.00013071711215917708 0.12017423954321454 1 1 1 1 1 1 1 1 1 1
4 48 -0.1636679689751763 -0.0009946926550245037 0.008588535596956968 0.14070490075722095 1 1 1 1 1 1 1 1 1 1
5 60 -0.15871706747319608 -0.00827958255772769 0.0013581715363870676 0.1490191873350723 1 1 1 1 1 1 1 1 1 1
6 72 -0.18585695780159028 -0.00572521478794658 0.007866920325445939 0.16443803688715017 1 1 1 1 1 1 1 1 1 1
7 84 -0.16157615031580633 -0.0011863978589112356 0.0016794541987309572 0.1810497960678334 1 1 1 1 1 1 1 1 1 1
8 96 -0.15114743574708364 -0.01353310942037991 2.1180514006057207e-05 0.1848067061123816 1 1 1 1 1 1 1 1 1 1
9 108 -0.18108741975895748 -0.008181293492480469 0.002206142505940519 0.21315487539288933 1 1 1 1 1 1 1 1 1 1
10 120 -0.17518423584638063 -0.000998794459954416 0.0015085993342352638 0.22813939396661992 1 1 1 1 1 1 1 1 1 1
11 132 -0.17019990398142176 -0.0029158769613869618 0.0113799170477543 0.25461778136650565 1 1 1 1 1 1 1 1 1 1
12 144 -0.14423456009486346 -0.005117356509398233 0.015818099545546433 0.29541052299945536 1 1 1 1 1 1 1 1 1 1
13 156 -0.18643149098962936 -0.008632289512477213 0.0011605197277250981 0.34826618892565003 1 1 1 1 1 1 1 1 1 1
14 168 -0.22975112385924912 -0.009714808466694437 0.0010550681091256574 0.3589397932061288 1 1 1 1 1 1 1 1 1 1
15 180 -0.18806860230811615 -0.007302089222808434 0.015180339380697455 0.3365128064003876 1 1 1 1 1 1 1 1 1 1
16 192 -0.2102397796355223 -0.016075826434699868 0.004467076670016666 0.3589234124224381 1 1 1 1 1 1 1 1 1 1
17 204 -0.19581261701662697 -0.004315560079934614 0.000978393291352579 0.36394898014934896 1 1 1 1 1 1 1 1 1 1
