% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=2, Fri May  3 10:30:52 2019
1 12 -0.053907611141810564 -0.000329531434431048 0.002688583623881864 0.05116983044464627 1 1 1 1 1 1 1 1 1 1
2 24 -0.07660746903225399 -0.003034282431757713 0.002621220897766089 0.08113754956096933 1 1 1 1 1 1 1 1 1 1
3 36 -0.08768020546129339 -0.0071123886574852024 0.0011194494496349998 0.08153544476867065 1 1 1 1 1 1 1 1 1 1
4 48 -0.09626102899193698 -0.009171844593648665 0.0012801466027577185 0.12128792757400811 1 1 1 1 1 1 1 1 1 1
5 60 -0.13683904614899992 -0.004487988560683146 0.006051974448444207 0.11975550851665914 1 1 1 1 1 1 1 1 1 1
6 72 -0.179897660967618 -0.0025712281115556563 0.0016164687352355203 0.15088409343222356 1 1 1 1 1 1 1 1 1 1
7 84 -0.18055031015255124 -0.0012719752647685032 1.2387183528868642e-05 0.16726618299491508 1 1 1 1 1 1 1 1 1 1
8 96 -0.22096525326156996 -0.001980603540116667 0.00751915741685413 0.19929730451278452 1 1 1 1 1 1 1 1 1 1
9 108 -0.2375540033187822 -0.0034699359774073174 0.0010769765710646677 0.21583200733537655 1 1 1 1 1 1 1 1 1 1
10 120 -0.2884629692930657 -0.004441880730524505 0.020045542649954447 0.2809111972786459 1 1 1 1 1 1 1 1 1 1
11 132 -0.29029791070216404 -0.0037689320593374074 0.0011613804466148122 0.2935538227010094 1 1 1 1 1 1 1 1 1 1
12 144 -0.3555356854754988 -0.001129164224497623 0.0014742616837014168 0.30947550995886886 1 1 1 1 1 1 1 1 1 1
13 156 -0.3917743387898242 -0.006631172880728624 0.005442045231418473 0.31763970131443137 1 1 1 1 1 1 1 1 1 1
14 168 -0.3622764543059289 -0.002140159627481568 0.002287617483591653 0.3007094781278512 1 1 1 1 1 1 1 1 1 1
15 180 -0.3331872692046298 -0.002154929405604508 0.006773489677657215 0.29206050715902543 1 1 1 1 1 1 1 1 1 1
16 192 -0.31234195924795416 -0.011120982741224583 0.0022357136538116665 0.28592090904618367 1 1 1 1 1 1 1 1 1 1
17 204 -0.2847595056285025 -0.012491494951173465 0.0006349306821606874 0.2721000128603324 1 1 1 1 1 1 1 1 1 1
18 216 -0.284443213729489 -2.615669605759655e-05 0.00849455143526305 0.2645601774027008 1 1 1 1 1 1 1 1 1 1
19 228 -0.30810468796722434 -0.0033017256735315826 0.0007445019679557652 0.264056086268358 1 1 1 1 1 1 1 1 1 1
20 240 -0.30106114133553513 -0.025102002421189554 0.010017633050339314 0.3274078247888862 1 1 1 1 1 1 1 1 1 1
21 252 -0.2951727958839151 -0.00836558701127153 0.000561258692357126 0.349792701087549 1 1 1 1 1 1 1 1 1 1
22 264 -0.3319068838011487 -0.005487152975714752 0.013225105370842153 0.34747071731134294 1 1 1 1 1 1 1 1 1 1
23 276 -0.34581045670857874 -0.0037425675520555294 0.0022355094993709245 0.3765168182611174 1 1 1 1 1 1 1 1 1 1
24 288 -0.34848279584118175 -0.024256497307363192 0.02022634205804035 0.34525804873717064 1 1 1 1 1 1 1 1 1 1
25 300 -0.345672996094379 -0.03179956554866713 0.013405494167479928 0.35851335699383086 1 1 1 1 1 1 1 1 1 1
26 312 -0.4212871429365251 -0.008564375896366671 0.004916582020579003 0.39112407239155406 1 1 1 1 1 1 1 1 1 1
27 324 -0.44306663165751425 -0.011233909071290385 0.05683707827573745 0.3943692187204608 1 1 1 1 1 1 1 1 1 1
28 336 -0.45902525938844335 -0.040342007242721536 0.002147421024276082 0.42238782885101267 1 1 1 1 1 1 1 1 1 1
